141229,337426683,41994209,135214583,71,17,119,
93598,63034512,51099812,83397440,628,50,50,
67815,136419805,785000199,33311893,119,97,97,
406046,785163798,105139178,51198026,264,22,32,
82640,78867916,462010844,68556146,6,10,10,
316453,702697211,2151206411,126597909,211,21,21,
87261,644152683,198999691,218713629,115,13,39,
565352,298282152,448388714,78723290,380,38,38,
723391,201391483,41716461,343244977,43,155,155,
18420,525952862,969429258,17308176,194,26,130,
518394,851415004,590456852,643418602,346,42,42,
394512,84196690,203048184,12771716,460,88,88,
328307,67597833,470147749,50745187,7,35,35,
302636,3911026,938383788,300303858,114,4,4,
320533,253050589,11499575,912287119,195,51,75,
12580,255528416,384712880,100441940,204,144,144,
274629,65644077,98600855,403639465,113,3,3,
340029,118374117,510021043,60392721,77,81,81,
134903,10127677,126948371,404895215,9,27,27,
45976,276417184,199254866,1673900758,4,76,76,
120493,95622479,303242895,377969683,63,39,39,
114728,24902588,84453436,4877010,142,26,64,
644335,603902775,151917297,498055331,1,107,107,
8070,627191916,61166546,95594410,54,16,16,
31608,451901020,768521030,158922154,170,34,212,
74955,79435705,284787687,129584379,255,3,3,
263762,406792498,18322300,275905034,6,118,118,
67413,644298955,86400489,133406877,33,59,219,
71123,169706427,18087633,184207383,63,21,21,
119593,500369255,292479437,103630411,217,27,27,
92814,355960316,407611396,54847874,420,34,34,
58382,165952460,21187476,494577472,400,130,130,
763458,492818370,45402100,137981274,202,30,30,
610198,412742584,454366568,1440468062,12,10,10,
574822,565985592,264014230,237593316,272,40,40,
530270,84087378,531928548,20048994,264,16,80,
159863,161539667,354806455,10524949,375,123,119,
95120,520910630,5185918,54143572,12,4,4,
54577,79741433,745664357,1595372715,75,33,239,
7808,160123588,87004306,168058326,162,86,86,
64241,550517685,524104895,133767381,513,27,27,
159765,1009002671,299077549,269187729,155,19,35,
10781,325198761,253941233,599023193,63,17,17,
368081,134139897,740141117,53457109,549,9,41,
207339,52730913,168714505,1051609177,77,23,23,
23806,13342100,607316014,181211036,20,26,26,
81660,299939634,261712572,58773432,30,48,48,
674532,47110710,362520446,230239738,408,58,52,
139296,893406776,20223894,10149624,64,14,14,
398951,33367323,153615559,549818841,247,9,31,
